confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated
19055,313,NV,0
19637,331,NV,0
20428,361,NV,0
21003,373,NV,0
21308,380,NV,0
22228,409,NV,0
22976,430,NV,0
23632,450,NV,0
24188,455,NV,0
24852,475,NV,0
25613,480,NV,0
25719,488,NV,0
26960,508,NV,0
27423,550,NV,0
27964,552,NV,0
28383,552,NV,0
28919,585,NV,0
29229,602,NV,0
29567,622,NV,0
29726,643,NV,0
30261,679,NV,0
30346,684,NV,0
30702,707,NV,0
31053,733,NV,0
31324,737,NV,0
31445,739,NV,0
31848,778,NV,0
32108,811,NV,0
32410,823,NV,0
32758,830,NV,0
33037,868,NV,0
33150,891,NV,0
33470,924,NV,0
33680,940,NV,0
33739,941,NV,0
34280,975,NV,0
34437,979,NV,0
34537,1014,NV,0
34541,1016,NV,0
34826,1049,NV,0
35026,1098,NV,0
35156,1117,NV,0
35315,1151,NV,0
35375,1151,NV,0
35561,1185,NV,0
35595,1187,NV,0
35701,1188,NV,0
35813,1194,NV,0
36001,1215,NV,0
36067,1229,NV,0
36122,1250,NV,0
36243,1263,NV,0
36349,1273,NV,0
36454,1274,NV,0
36557,1275,NV,0
36628,1275,NV,0
36628,1275,NV,0
36796,1287,NV,0
36796,1287,NV,0
36796,1287,NV,0
36833,1292,NV,0
36915,1298,NV,0
36982,1302,NV,0
37023,1302,NV,0
37101,1311,NV,0
37140,1316,NV,0
37140,1316,NV,0
37355,1348,NV,0
37431,1358,NV,0
37510,1367,NV,0
37517,1367,NV,0
37637,1374,NV,0
37682,1379,NV,0
37682,1379,NV,0
37685,1379,NV,0
37685,1379,NV,0
37845,1387,NV,0
37942,1389,NV,0
37980,1389,NV,0
38039,1389,NV,0
38085,1391,NV,0
38156,1401,NV,0
38199,1405,NV,0
38215,1405,NV,0
38226,1406,NV,0
38229,1406,NV,0
38229,1406,NV,0
38248,1406,NV,0
38282,1410,NV,0
38329,1413,NV,0
38374,1413,NV,0
38374,1413,NV,0
38390,1413,NV,0
38484,1416,NV,0
38580,1419,NV,0
38606,1422,NV,0
38630,1424,NV,0
38658,1424,NV,0
38692,1424,NV,0
38727,1424,NV,0
38802,1424,NV,0
38858,1429,NV,0
38901,1430,NV,0
38941,1440,NV,0
38958,1440,NV,0
38969,1441,NV,0
39005,1441,NV,0
39130,1445,NV,0
39160,1448,NV,0
39182,1449,NV,0
39231,1450,NV,0
39256,1455,NV,0
39272,1455,NV,0
39278,1457,NV,0
39313,1457,NV,0
39325,1460,NV,0
39340,1462,NV,0
39354,1462,NV,0
39371,1462,NV,0
39376,1462,NV,0
39383,1466,NV,0
39427,1466,NV,0
39508,1470,NV,0
39572,1471,NV,0
39634,1473,NV,0
39702,1474,NV,0
39779,1476,NV,0
39789,1477,NV,0
39885,1481,NV,0
39956,1483,NV,0
40014,1484,NV,0
40080,1485,NV,0
40112,1485,NV,0
40159,1489,NV,0
40227,1492,NV,0
40286,1496,NV,0
40373,1501,NV,0
40461,1503,NV,0
40461,1503,NV,0
40510,1503,NV,0
40626,1505,NV,0
40687,1507,NV,0
40768,1511,NV,0
40833,1514,NV,0
40937,1518,NV,0
41032,1523,NV,0
41145,1529,NV,0
41268,1532,NV,0
41334,1533,NV,0
41425,1536,NV,0
41501,1536,NV,0
41633,1541,NV,0
41728,1544,NV,0
41814,1548,NV,0
41935,1554,NV,0
